At_gene	NAME	GWEIGHT	s1	s3	s5	r1	r3	r5
AT4G37290	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to karrikin; LOCATED IN: endomembrane system; EXPRESSED IN: cotyledon, hypocotyl, leaf; EXPRESSED DURING: LP.04 four leaves visible; BEST Arabidopsis thaliana protein m /.../s: unknown protein (TAIR:AT2G23270.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).	1.000000	4.235998	2.508818	4.187264	4.698357	5.332663	1.486927
AT5G49690	UDP-glycosyltransferase 91C1	1.000000	1.805313	0.802317	1.678264	1.719601	2.343101	0.373868
AT4G23510	TIR-NBS-LRR class disease resistance protein	1.000000	0.425782	0.618230	1.854991	2.276540	3.295919	-2.144073
AT5G41120	Gb|AAC64874.1	1.000000	-1.188983	-1.167499	-0.848579	-0.806173	-0.590276	-1.539807
AT5G62020	HSFB2A	1.000000	1.756860	1.547378	1.971870	2.418833	3.208365	0.538970
AT4G16820	Phospholipase A1-Ibeta2, chloroplastic	1.000000	3.264779	3.454010	4.771211	4.274470	6.251202	2.437879
AT5G36970	NHL25	1.000000	4.558172	3.822257	6.290306	6.084678	7.805951	2.511960
AT1G49990	F-box protein At1g49990	1.000000	-1.878763	-1.957030	-0.535892	-1.010311	0.485142	-3.128077
AT1G08800	Myosin-binding protein 1	1.000000	0.856901	0.767003	1.075541	1.096681	1.406652	0.649646
AT3G62150	ABC transporter B family member 21	1.000000	1.339379	1.277589	1.998003	1.969313	2.675775	0.885776
AT4G04620	Autophagy-related protein 8b	1.000000	1.033644	0.941000	1.319651	1.262259	1.771307	0.763617
AT4G31550	Probable WRKY transcription factor 11	1.000000	1.174753	0.260656	1.325075	1.014126	2.032611	0.263359
AT1G70000	At1g70000	1.000000	1.011468	0.395341	1.126708	0.733637	1.652199	0.434885
AT5G13220	jasmonate-zim-domain protein 10	1.000000	3.273601	1.362297	3.395732	3.692221	5.944285	1.273903
AT2G40370	Laccase-5	1.000000	1.914121	1.001389	2.008041	2.326638	3.103428	0.951478
AT4G02850	At4g02850	1.000000	2.806532	1.425260	3.394923	3.310034	4.753931	1.208091
AT5G41550	Disease resistance protein-like	1.000000	1.586652	0.990442	2.031653	1.909394	3.249873	0.701513
AT3G14050	Probable GTP diphosphokinase RSH2, chloroplastic	1.000000	1.091109	0.731438	1.245931	1.529516	2.519550	0.464449
AT3G20340	At3g20340	1.000000	3.039253	2.005920	3.274538	3.605975	5.485058	1.426113
AT5G16170	At5g16170	1.000000	1.105836	-0.611455	1.370216	1.344246	4.179562	-0.097287
AT3G53260	Phenylalanine ammonia-lyase 2	1.000000	1.236441	0.565156	1.253318	1.308406	2.159421	0.719925
AT1G13195	At1g13195	1.000000	1.025029	0.286175	1.006632	1.003720	1.952269	0.429203
AT1G64060	Respiratory burst oxidase homolog protein F	1.000000	1.658866	0.791303	1.908103	1.869686	2.940876	1.215759
AT3G25770	Allene oxide cyclase 2, chloroplastic	1.000000	2.366782	0.614424	1.931103	2.329237	4.889563	0.432774
AT1G20510	4-coumarate--CoA ligase-like 5	1.000000	1.166152	0.263469	0.976315	1.148653	2.561322	0.355557
AT2G45120	Zinc finger protein ZAT4	1.000000	-0.234012	-0.290792	-0.420697	1.191481	1.900336	-1.422960
AT3G47380	Pectinesterase inhibitor 11	1.000000	1.699200	1.216077	0.849735	3.025715	4.077391	-0.332920
AT4G16563	Probable aspartyl protease At4g16563	1.000000	1.995694	2.077967	1.981168	3.007819	4.514455	0.502925
AT1G28510	At1g28510/F3M18_5	1.000000	3.282419	3.333559	3.814114	4.714471	8.307317	1.321587
AT5G05440	Abscisic acid receptor PYL5	1.000000	1.040683	1.217414	0.965401	1.305140	2.332034	0.453974
AT2G40330	Abscisic acid receptor PYL6	1.000000	1.898692	1.151056	1.524461	2.215588	3.732048	0.939348
AT1G05280	Protein of unknown function (DUF604)	1.000000	-0.004652	-1.163157	-0.794292	0.233183	2.849283	-1.407293
AT2G21900	Probable WRKY transcription factor 59	1.000000	1.527368	0.956564	1.289361	2.798284	4.697537	0.056953
AT4G37030	Putative uncharacterized protein	1.000000	2.390496	2.022219	2.503134	3.350885	4.981354	1.711046
AT3G24670	Pectate lyase	1.000000	-0.443359	0.059100	-1.362208	0.084977	3.855887	-4.165225
AT1G02400	Gibberellin 2-beta-dioxygenase 6	1.000000	0.959918	1.324357	0.851882	1.269257	2.082017	-0.127750
AT4G31020	Alpha/beta-Hydrolases superfamily protein	1.000000	1.661379	-0.087242	1.298787	3.438436	1.694331	-0.167170
AT5G52050	Protein DETOXIFICATION 50	1.000000	3.298430	0.969827	2.264293	4.944388	3.403030	-0.274300
AT4G35180	Lysine histidine transporter-like 7	1.000000	3.404534	2.074114	2.882885	4.897541	3.522974	0.770198
AT3G51410	At3g51410	1.000000	0.518105	-1.471656	-0.973081	1.996712	0.304535	-2.855589
AT3G25882	NIMIN-2	1.000000	3.040525	2.073311	2.032191	3.479912	2.894587	0.575551
AT1G15520	ABC transporter G family member 40	1.000000	6.518479	4.870966	4.766654	7.918168	7.701904	1.939596
AT5G67080	MAPKKK19	1.000000	4.762774	3.629751	3.262860	6.554525	5.656248	0.312363
AT4G04800	Peptide methionine sulfoxide reductase B3	1.000000	1.416225	-0.044697	0.485601	2.398774	2.399945	-2.544529
AT3G23230	Ethylene-responsive transcription factor ERF098	1.000000	3.962831	3.020464	2.560784	5.568972	3.976849	2.027756
AT1G58260	Cytochrome P450, putative	1.000000	-0.263877	-0.907322	-1.914412	1.669979	0.492006	-2.111334
AT3G22060	Cysteine-rich repeat secretory protein 38	1.000000	6.023428	4.254888	4.083400	8.386369	6.940743	2.236742
AT3G15518	Putative uncharacterized protein	1.000000	4.224742	2.828746	2.272057	4.659246	3.887860	1.356942
AT1G56650	Transcription factor MYB75	1.000000	0.350529	-0.248867	-1.007515	1.219093	0.780355	-1.562244
AT5G39640	Putative endonuclease or glycosyl hydrolase	1.000000	1.443017	0.599399	-0.388416	1.914681	2.043987	-0.776041
AT3G03980	NADPH-dependent aldehyde reductase-like protein, chloroplastic	1.000000	2.316268	0.911769	1.910366	2.719554	3.712919	1.051314
AT3G27720	IBR domain containing protein	1.000000	0.568374	-1.710264	-0.293927	1.577158	2.466091	-1.466343
AT3G51450	Protein STRICTOSIDINE SYNTHASE-LIKE 7	1.000000	1.913543	1.509928	1.773441	2.229366	2.650166	1.287279
AT3G55090	ABC transporter G family member 16	1.000000	1.051321	0.390334	1.010641	1.715795	2.503103	-0.185897
AT4G15760	monooxygenase 1	1.000000	2.784073	1.556619	2.033223	2.903698	3.928360	1.127950
AT5G63790	NAC domain containing protein 102	1.000000	2.612705	1.310140	2.216284	3.013711	3.356712	1.016992
AT5G56350	Pyruvate kinase	1.000000	0.960500	0.291163	1.060810	1.682293	1.802068	0.143887
AT3G14690	Cytochrome P450, family 72, subfamily A, polypeptide 15	1.000000	4.715446	3.169404	4.624780	5.771012	6.306147	3.067919
AT1G14370	PBL2	1.000000	2.055719	1.197331	2.156348	2.593442	2.854129	1.063909
AT3G53160	UDP-glycosyltransferase 73C7	1.000000	5.171589	3.078035	5.487681	6.525413	7.418455	2.684280
AT4G23030	Protein DETOXIFICATION	1.000000	4.379621	1.304621	2.659886	4.932932	5.029685	0.328200
AT2G43820	Glycosyltransferase	1.000000	2.576628	0.818399	1.872557	4.036235	4.103122	0.098105
AT3G01590	F4P13.13 protein	1.000000	1.224278	0.579620	1.004638	1.715652	1.528738	0.360629
AT2G25000	Probable WRKY transcription factor 60	1.000000	3.091659	0.366325	1.740436	4.957534	4.338673	-0.250611
AT5G43410	Ethylene-responsive transcription factor ERF096	1.000000	3.330031	0.753184	3.240466	5.840111	5.436495	-0.032871
AT5G47220	ERF2	1.000000	1.140966	1.009198	1.544219	2.479830	2.107173	0.331463
AT5G65140	Probable trehalose-phosphate phosphatase J	1.000000	0.968538	0.858907	1.378927	2.206653	1.964299	0.084478
AT5G17860	Cation/calcium exchanger 1	1.000000	2.082601	2.073580	2.499741	3.329881	3.525158	0.921328
AT2G41180	Sigma factor binding protein 2, chloroplastic	1.000000	0.854683	0.799862	1.043984	2.288440	2.780802	-0.682563
AT5G19380	CRT (Chloroquine-resistance transporter)-like transporter 1	1.000000	2.440316	1.628252	2.714948	4.060543	4.252942	0.757071
AT3G55970	Probable 2-oxoglutarate-dependent dioxygenase JRG21	1.000000	4.067819	3.711652	5.052700	7.402716	7.566697	1.839240
AT5G01330	Pyruvate decarboxylase 3	1.000000	0.552727	-0.352707	0.494591	4.077945	3.309324	-1.940251
AT3G16150	ASPGB1	1.000000	2.799301	1.694267	3.885320	6.000221	6.139698	1.826638
AT1G61480	G-type lectin S-receptor-like serine/threonine-protein kinase At1g61480	1.000000	3.028292	2.584413	3.681700	4.631826	4.792626	2.613521
AT5G47120	Bax inhibitor 1	1.000000	1.237093	1.039405	1.444206	1.705288	1.764530	1.049057
AT4G01370	Mitogen-activated protein kinase 4	1.000000	0.738404	0.447023	1.070251	1.542906	1.698327	0.377630
AT5G17380	2-hydroxyacyl-CoA lyase	1.000000	1.189553	0.621332	1.543870	2.298006	2.495309	0.522349
AT2G44080	ARGOS-like protein	1.000000	2.206926	1.338384	2.813391	4.931675	4.586520	1.279256
AT5G08790	Protein ATAF2	1.000000	2.141082	1.539607	2.217527	3.772779	4.217343	1.079568
AT1G17290	Alanine aminotransferase 1, mitochondrial	1.000000	1.062806	0.640541	1.239504	2.967170	3.030624	-0.070081
AT2G38240	Probable 2-oxoglutarate-dependent dioxygenase ANS	1.000000	3.120476	0.796122	3.373047	6.594224	7.475434	0.633234
AT2G36780	UDP-glycosyltransferase 73C3	1.000000	3.681254	1.786781	3.399540	6.253711	6.262979	1.338650
AT1G69930	Glutathione S-transferase U11	1.000000	4.057111	1.949743	4.696085	6.860691	6.390593	2.153748
AT2G36770	Glycosyltransferase	1.000000	5.205369	2.818650	6.153925	7.684579	6.640514	3.237662
AT1G20270	Probable prolyl 4-hydroxylase 3	1.000000	1.109790	0.476671	1.474775	2.193092	1.786653	0.564396
AT3G55560	AT-hook motif nuclear-localized protein 15	1.000000	1.266416	0.004989	1.340986	2.387197	2.094306	0.832041
AT3G02800	Putative uncharacterized protein At3g02800	1.000000	0.851957	0.197573	1.287420	2.268989	1.969552	0.601851
AT1G30040	Gibberellin 2-beta-dioxygenase 2	1.000000	1.645891	0.657369	2.098265	4.018222	3.158781	0.937830
AT5G14700	Cinnamoyl CoA reductase-like protein	1.000000	1.230213	-0.153276	1.179907	3.476166	3.055398	0.493646
AT5G66650	Calcium uniporter protein 3, mitochondrial	1.000000	1.214179	-0.072660	1.090805	3.153490	2.380299	0.681565
AT4G04710	calcium-dependent protein kinase 22	1.000000	1.438690	0.007708	0.965847	2.894015	2.380251	0.667669
AT3G04300	At3g04300	1.000000	2.055138	0.551388	1.171279	3.082677	2.817143	0.706816
AT3G54420	EP3	1.000000	3.288503	0.199729	0.940590	4.578749	4.110841	0.163191
AT1G07350	Serine/arginine-rich splicing factor SR45a	1.000000	1.157088	0.324827	0.470824	1.727536	1.498051	0.260202
AT1G12030	At1g12030	1.000000	2.343359	-1.070172	0.077731	4.617209	3.927881	0.193419
AT1G72060	Putative uncharacterized protein At1g72060	1.000000	3.178104	0.934466	1.567266	5.206775	3.611907	0.738864
AT1G05560	UDP-glucosyltransferase 75B1	1.000000	3.817414	1.092178	3.054808	6.020832	4.908650	1.663967
AT1G47510	Type IV inositol polyphosphate 5-phosphatase 11	1.000000	5.216154	0.962794	3.641528	7.518165	5.888056	1.692283
AT4G20930	Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial	1.000000	1.081281	0.690663	0.639985	1.610195	1.568207	0.550440
AT1G28480	Glutaredoxin-C9	1.000000	3.184262	0.943890	1.265412	3.215273	3.349309	0.558889
AT1G04370	Putative uncharacterized protein At1g04370	1.000000	3.120025	0.941913	1.256072	3.284225	2.917179	0.753375
AT4G19970	CONTAINS InterPro DOMAIN/s: Nucleotide-diphospho-sugar transferase, predicted (InterPro:IPR005069); BEST Arabidopsis thaliana protein match is: Nucleotide-diphospho-sugar transferase family protein (TAIR:AT5G44820.1); Has 801 Blast hits to 466 prote /.../ 35 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 750; Viruses - 0; Other Eukaryotes - 49 (source: NCBI BLink).	1.000000	5.199350	2.805726	6.929424	7.725699	6.273031	2.597690
AT1G56250	F-box protein VBF	1.000000	2.382080	0.523642	3.186373	3.468279	2.592020	0.860449
AT3G57700	Protein kinase superfamily protein	1.000000	2.404927	0.369148	2.659863	3.221777	2.536550	0.485339
AT1G23730	Beta carbonic anhydrase 3	1.000000	2.945669	0.828045	3.290704	3.621205	2.876088	0.856999
AT1G67850	AT1G67850 protein	1.000000	1.712175	0.725367	2.057584	1.821121	1.863319	0.751293
AT4G17660	Probable serine/threonine-protein kinase PBL20	1.000000	2.657450	0.842650	3.261654	2.995234	2.594105	0.990682
AT5G06090	Glycerol-3-phosphate acyltransferase 7	1.000000	1.804676	0.852454	2.339970	2.003389	1.904498	0.913966
AT2G42980	Aspartyl protease-like protein	1.000000	4.307617	1.659826	6.305571	5.249988	4.240683	1.963591
AT4G26120	Ankyrin repeat family protein / BTB/POZ domain-containing protein	1.000000	1.524169	0.323850	1.603318	1.270896	0.985709	0.290307
AT3G14990	Protein DJ-1 homolog A	1.000000	3.616061	1.768013	3.615114	3.320407	2.905089	1.218410
AT1G12200	Flavin-containing monooxygenase	1.000000	4.629956	2.009131	5.756006	5.366582	3.864330	1.718900
AT2G44460	Beta-glucosidase 28	1.000000	2.883103	-0.272810	3.756668	3.083053	1.402994	-1.370852
AT5G52550	AT5g52550/F6N7_3	1.000000	3.252368	1.419222	3.887638	3.492440	2.862861	0.565850
AT2G31940	Putative uncharacterized protein At2g31940	1.000000	-0.535469	-1.826481	-0.808145	-0.446631	-1.104500	-1.940567
AT1G02820	Late embryogenis abundant protein 2	1.000000	3.443967	1.733962	3.521961	4.093823	2.653054	1.422552
AT4G08770	Peroxidase 37	1.000000	3.104584	1.247640	3.354804	3.958842	2.585395	1.165424
AT5G45210	Disease resistance protein (TIR-NBS-LRR class) family	1.000000	-1.561682	-1.834862	1.184541	-0.705227	-1.234000	-2.294726
AT4G39640	Gamma-glutamyltranspeptidase 1	1.000000	1.409681	0.981445	2.521966	1.643884	1.232615	0.975667
AT2G40160	Plant protein of unknown function (DUF828)	1.000000	-1.530383	-1.838372	-0.697802	-1.493090	-1.665975	-2.085678
AT4G34131	Glycosyltransferase	1.000000	2.647778	1.323048	4.278496	3.191286	2.154767	1.308982
AT3G07970	Polygalacturonase QRT2	1.000000	1.873702	0.621251	4.061824	2.760816	1.665650	-0.163281
AT2G31180	Transcription factor MYB14	1.000000	3.018181	1.465069	4.076142	2.696659	2.590283	0.750569
AT3G26180	Cytochrome P450 71B20	1.000000	4.574147	2.902703	5.648919	4.611127	3.997268	2.323005
AT1G60750	Probable aldo-keto reductase 6	1.000000	3.126872	1.343251	3.966670	2.540058	2.504427	1.117198
