AGI	Gene Name	Short Description	T1_Ax_Pst vs Ax_CTL_log2FC	T1_Ax_Pst vs Ax_CTL_FDR	T2_Ax_Pst vs Ax_CTL_log2FC	T2_Ax_Pst vs Ax_CTL_FDR	color
AT1G28480	GRX480	Thioredoxin superfamily protein	4.69	2.5E-09	7.99	3.8E-12	blue
AT5G23830		MD-2-related lipid recognition domain-containing protein	4.62	1.1E-05	3.40	1.2E-03	blue
AT4G16590	CSLA01	cellulose synthase-like A01	4.62	2.4E-40	6.03	2.1E-33	blue
AT1G52400	BGLU18	beta glucosidase 18	4.54	4.9E-62	3.83	1.5E-26	blue
AT1G76790	IGMT5	O-methyltransferase family protein	4.53	6.4E-36	4.28	8.0E-17	blue
AT4G21850	MSRB9	methionine sulfoxide reductase B9	4.47	2.0E-03	7.42	4.1E-07	blue
AT5G21960		Integrase-type DNA-binding superfamily protein	4.46	2.4E-03	6.92	3.7E-15	blue
AT5G42655		Disease resistance-responsive (dirigent-like protein) family protein	4.46	4.7E-05	7.17	5.0E-10	blue
AT5G24770	VSP2	vegetative storage protein 2	4.43	4.6E-53	5.78	1.7E-24	blue
AT3G16450	JAL33	Mannose-binding lectin superfamily protein	4.40	5.3E-11	5.12	5.6E-16	blue
AT1G52410	TSA1	TSK-associating protein 1	4.35	8.3E-47	4.38	3.4E-31	blue
AT4G24340		Phosphorylase superfamily protein	4.27	2.1E-06	6.63	7.0E-11	blue
AT5G19100		Eukaryotic aspartyl protease family protein	4.26	1.4E-15	5.16	1.0E-22	blue
AT4G29690		Alkaline-phosphatase-like family protein	4.26	4.0E-11	7.57	1.4E-35	blue
AT5G42800	DFR	dihydroflavonol 4-reductase	4.24	3.3E-32	7.89	4.4E-22	blue
AT3G16470	JR1	Mannose-binding lectin superfamily protein	4.21	6.1E-40	4.22	9.5E-20	blue
AT5G56880			4.20	7.2E-05	5.45	1.1E-12	blue
AT4G23590		Tyrosine transaminase family protein	4.20	1.8E-06	5.52	1.5E-05	blue
AT4G02360		"Protein of unknown function, DUF538"	4.15	3.0E-22	5.17	5.6E-16	blue
AT2G38240		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	4.14	1.7E-02	6.19	1.9E-05	blue
AT3G44300	NIT2	nitrilase 2	4.12	5.0E-03	3.42	3.3E-03	blue
AT3G28220		TRAF-like family protein	4.11	5.2E-47	3.73	1.2E-30	blue
AT4G27860		vacuolar iron transporter (VIT) family protein	4.02	1.2E-49	4.79	1.1E-31	blue
AT1G14120		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	3.96	4.5E-12	2.59	1.7E-04	blue
AT4G10500		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	3.95	3.2E-02	3.43	2.1E-03	blue
AT2G42350		RING/U-box superfamily protein	3.93	1.0E-03	3.08	3.7E-04	blue
AT2G29460	GSTU4	glutathione S-transferase tau 4	3.88	1.3E-06	7.02	1.1E-10	blue
AT5G19110		Eukaryotic aspartyl protease family protein	3.84	3.3E-03	6.37	1.7E-12	blue
AT1G02930	GSTF6	glutathione S-transferase 6	3.80	2.8E-14	6.04	5.7E-43	blue
AT3G25760	AOC1	allene oxide cyclase 1	3.78	5.5E-22	5.00	1.6E-28	blue
AT4G22880	LDOX	leucoanthocyanidin dioxygenase	3.76	8.0E-28	7.41	6.4E-27	blue
AT5G23820		MD-2-related lipid recognition domain-containing protein	3.73	3.8E-40	4.50	7.5E-26	blue
AT5G41315	GL3	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	3.66	2.1E-04	5.94	1.5E-11	blue
AT2G04495			3.63	4.1E-02	2.41	3.8E-02	blue
AT5G13220	JAZ10	jasmonate-zim-domain protein 10	3.63	2.8E-07	4.03	1.2E-09	blue
AT3G57260	BGL2;PR2	"beta-1,3-glucanase 2"	3.58	1.6E-07	6.16	8.3E-09	blue
AT2G44840	ERF13	ethylene-responsive element binding factor 13	3.58	2.4E-04	5.29	2.7E-10	blue
AT5G54060	UF3GT	UDP-glucose:flavonoid 3-o-glucosyltransferase	3.58	6.5E-41	6.52	7.8E-26	blue
AT4G11320		Papain family cysteine protease	3.55	9.4E-25	3.98	5.0E-26	blue
AT4G13860		RNA-binding (RRM/RBD/RNP motifs) family protein	3.51	1.3E-10	5.21	7.2E-11	blue
AT4G37140	MEE69	alpha/beta-Hydrolases superfamily protein	3.50	3.5E-18	5.01	2.2E-26	blue
AT3G46700		UDP-Glycosyltransferase superfamily protein	3.46	3.9E-02	3.43	7.1E-03	blue
AT2G47180	GolS1	galactinol synthase 1	3.45	7.0E-35	4.79	4.9E-29	blue
AT1G53903		Protein of unknown function (DUF581)	3.41	1.1E-14	3.95	6.6E-17	blue
AT4G37409			3.40	6.0E-06	2.57	3.7E-05	blue
AT5G13330	Rap2.6L	related to AP2 6l	3.40	1.4E-07	4.60	5.4E-07	blue
AT4G08870	ARGAH2	Arginase/deacetylase superfamily protein	3.37	2.6E-53	5.09	3.2E-30	blue
AT1G44350	ILL6	IAA-leucine resistant (ILR)-like gene 6	3.36	7.3E-20	4.37	1.1E-18	blue
AT1G19670	CLH1	chlorophyllase 1	3.33	1.2E-57	3.02	1.7E-25	blue
AT1G17380	JAZ5	jasmonate-zim-domain protein 5	3.33	2.0E-08	3.45	2.4E-21	blue
AT5G38120	 4CL8	AMP-dependent synthetase and ligase family protein	3.33	6.5E-13	5.11	1.2E-15	blue
AT1G14250		GDA1/CD39 nucleoside phosphatase family protein	3.33	9.9E-60	5.18	1.8E-35	blue
AT3G45140	LOX2	lipoxygenase 2	3.31	3.3E-52	3.95	1.9E-33	blue
AT1G79680	WAKL10	WALL ASSOCIATED KINASE (WAK)-LIKE 10	3.30	1.5E-02	6.02	8.7E-10	blue
AT2G44578		RING/U-box superfamily protein	3.25	3.2E-04	3.25	3.8E-06	blue
AT5G05600		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	3.22	3.1E-22	2.90	4.7E-12	blue
AT4G23600	CORI3	Tyrosine transaminase family protein	3.21	1.6E-61	4.71	5.5E-30	blue
AT1G79310	MC7	metacaspase 7	3.19	8.7E-07	5.34	1.0E-19	blue
AT1G11185		other RNA	3.19	2.4E-03	3.71	4.4E-16	blue
AT4G18440		L-Aspartase-like family protein	3.15	2.2E-57	4.31	1.7E-28	blue
AT1G66100		Plant thionin	3.15	7.6E-63	3.94	2.3E-32	blue
AT1G10530			3.15	1.3E-11	2.84	2.4E-07	blue
AT2G34810		FAD-binding Berberine family protein	3.13	4.2E-64	4.09	1.8E-29	blue
AT1G61810	BGLU45	beta-glucosidase 45	3.12	2.2E-02	4.52	1.2E-07	blue
AT4G20190			3.12	5.8E-03	3.73	7.1E-10	blue
AT1G17390		transposable element gene	3.10	7.0E-05	1.43	2.7E-02	blue
AT1G77530		O-methyltransferase family protein	3.00	5.6E-03	6.94	1.5E-18	blue
AT3G29590	AT5MAT	HXXXD-type acyl-transferase family protein	2.98	2.8E-31	6.45	3.4E-21	blue
AT4G21680	NRT1.8	NITRATE TRANSPORTER 1.8	2.98	2.3E-05	5.63	2.2E-11	blue
AT5G26220		ChaC-like family protein	2.97	1.1E-15	4.19	1.2E-10	blue
AT4G15440	HPL1	hydroperoxide lyase 1	2.97	2.0E-32	3.57	4.4E-28	blue
AT4G17480		alpha/beta-Hydrolases superfamily protein	2.95	1.3E-14	4.11	9.1E-13	blue
AT1G61610		S-locus lectin protein kinase family protein	2.94	1.7E-19	4.29	5.1E-18	blue
AT5G24290		Vacuolar iron transporter (VIT) family protein	2.93	1.4E-15	3.82	2.5E-20	blue
AT3G46660	UGT76E12	UDP-glucosyl transferase 76E12	2.93	6.5E-03	5.06	2.9E-06	blue
AT2G43530		Scorpion toxin-like knottin superfamily protein	2.92	9.3E-49	3.65	2.9E-36	blue
AT5G19097		transposable element gene	2.89	2.1E-07	4.25	3.4E-12	blue
AT2G34600	JAZ7	jasmonate-zim-domain protein 7	2.89	4.7E-03	2.08	6.3E-03	blue
AT5G36220	CYP81D1	cytochrome p450 81d1	2.88	5.0E-50	4.20	1.9E-35	blue
AT1G52000		Mannose-binding lectin superfamily protein	2.85	7.4E-29	2.61	1.6E-28	blue
AT1G02940	GSTF5	glutathione S-transferase (class phi) 5	2.84	5.9E-03	4.52	6.0E-15	blue
AT3G09260	PYK10	Glycosyl hydrolase superfamily protein	2.81	3.6E-25	3.62	3.5E-21	blue
AT4G36950	MAPKKK21	mitogen-activated protein kinase kinase kinase 21	2.81	1.7E-03	3.37	3.5E-10	blue
AT2G39310	JAL22	jacalin-related lectin 22	2.81	2.6E-09	3.80	5.3E-21	blue
AT4G10390		Protein kinase superfamily protein	2.81	2.3E-13	3.39	2.6E-15	blue
AT4G13395	RTFL12	ROTUNDIFOLIA like 12	2.78	1.7E-02	6.38	1.2E-14	blue
AT1G23850			2.74	6.0E-10	3.71	6.7E-26	blue
AT3G12145	FLR1	Leucine-rich repeat (LRR) family protein	2.72	4.9E-35	2.37	2.4E-17	blue
AT4G29700		Alkaline-phosphatase-like family protein	2.72	3.2E-20	3.10	9.5E-21	blue
AT4G09820	TT8	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	2.68	6.1E-13	5.38	2.6E-38	blue
AT1G35210			2.66	1.3E-02	3.08	6.5E-05	blue
AT2G32487			2.65	4.9E-29	4.57	3.4E-42	blue
AT1G80160	GLYI7	Lactoylglutathione lyase / glyoxalase I family protein	2.65	3.9E-03	3.06	2.6E-03	blue
AT3G22600		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	2.65	2.1E-02	1.96	2.0E-02	blue
AT3G51450		Calcium-dependent phosphotriesterase superfamily protein	2.65	1.4E-19	2.79	2.2E-19	blue
AT2G45930			2.64	1.1E-02	4.14	1.2E-08	blue
AT1G19180	JAZ1	jasmonate-zim-domain protein 1	2.57	8.8E-09	3.54	8.9E-19	blue
AT3G21680			2.56	1.2E-02	3.47	2.9E-03	blue
AT2G30750	CYP71A12	"cytochrome P450, family 71, subfamily A, polypeptide 12"	2.56	2.1E-02	2.59	3.7E-03	blue
AT1G70700	TIFY7	TIFY domain/Divergent CCT motif family protein	2.55	2.7E-18	2.65	6.4E-17	blue
AT1G26762			2.54	1.2E-03	3.55	1.3E-11	blue
AT2G22930		UDP-Glycosyltransferase superfamily protein	2.54	4.9E-10	4.57	2.4E-37	blue
AT4G38560		Arabidopsis phospholipase-like protein (PEARLI 4) family	2.54	1.4E-02	1.58	7.2E-03	blue
AT5G17220	GSTF12	glutathione S-transferase phi 12	2.51	3.6E-26	5.54	8.2E-30	blue
AT1G19570	DHAR1	dehydroascorbate reductase	2.51	2.2E-39	4.16	4.8E-27	blue
AT4G24000	CSLG2	cellulose synthase like G2	2.51	3.6E-02	4.79	6.9E-05	blue
AT2G29710		UDP-Glycosyltransferase superfamily protein	2.50	1.8E-06	1.37	4.6E-03	blue
AT2G03980		GDSL-like Lipase/Acylhydrolase superfamily protein	2.49	2.1E-44	2.82	2.3E-29	blue
AT2G43510	TI1	trypsin inhibitor protein 1	2.47	3.6E-05	4.27	4.2E-10	blue
AT2G29350	SAG13	senescence-associated gene 13	2.45	1.5E-02	3.96	2.4E-05	blue
AT5G09980	PROPEP4	elicitor peptide 4 precursor	2.44	4.3E-06	2.15	3.0E-04	blue
AT3G20370		TRAF-like family protein	2.43	5.3E-03	2.15	2.4E-02	blue
AT2G23910		NAD(P)-binding Rossmann-fold superfamily protein	2.41	5.6E-03	3.07	7.2E-07	blue
AT5G27060	RLP53	receptor like protein 53	2.41	1.8E-02	4.63	3.1E-06	blue
AT5G04330		Cytochrome P450 superfamily protein	2.40	1.8E-06	2.81	2.6E-12	blue
AT1G65890	AAE12	acyl activating enzyme 12	2.40	1.5E-08	4.26	1.4E-20	blue
AT3G51440		Calcium-dependent phosphotriesterase superfamily protein	2.38	1.4E-07	2.72	6.0E-06	blue
AT2G06050	OPR3	oxophytodienoate-reductase 3	2.38	1.8E-11	3.35	1.4E-21	blue
AT2G15760		Protein of unknown function (DUF1645)	2.37	2.8E-03	3.38	2.8E-04	blue
AT1G29540			2.36	4.3E-05	1.71	7.2E-04	blue
AT2G32680	RLP23	receptor like protein 23	2.36	1.0E-02	2.16	2.0E-04	blue
AT2G14560	LURP1	Protein of unknown function (DUF567)	2.34	3.0E-03	2.78	1.2E-03	blue
AT2G23560	MES7	methyl esterase 7	2.34	5.5E-08	1.81	1.4E-03	blue
AT2G06255	ELF4-L3	ELF4-like 3	2.32	6.6E-08	4.40	1.3E-26	blue
AT4G15765		FAD/NAD(P)-binding oxidoreductase family protein	2.31	7.9E-14	3.24	1.7E-13	blue
AT5G67080	MAPKKK19	mitogen-activated protein kinase kinase kinase 19	2.30	2.7E-02	3.15	1.3E-03	blue
AT5G07990	TT7	Cytochrome P450 superfamily protein	2.30	1.9E-30	3.91	1.3E-23	blue
AT5G48850	ATSDI1	Tetratricopeptide repeat (TPR)-like superfamily protein	2.28	1.5E-04	3.98	1.6E-12	blue
AT5G10300	MES5	methyl esterase 5	2.26	3.4E-19	3.00	6.3E-16	blue
AT4G37150	MES9	methyl esterase 9	2.25	5.5E-18	4.58	6.1E-29	blue
AT3G44860	FAMT	farnesoic acid carboxyl-O-methyltransferase	2.25	5.8E-22	3.06	1.7E-23	blue
AT1G64200	VHA-E3	vacuolar H+-ATPase subunit E isoform 3	2.24	4.5E-33	3.05	5.9E-23	blue
AT1G64210		Leucine-rich repeat protein kinase family protein	2.21	2.7E-02	3.85	3.3E-06	blue
AT3G25780	AOC3	allene oxide cyclase 3	2.16	1.3E-02	4.75	6.6E-17	blue
AT2G16367			2.14	1.9E-14	1.63	7.3E-10	blue
AT5G41120		Esterase/lipase/thioesterase family protein	2.14	2.8E-35	2.82	6.6E-20	blue
AT4G01080	TBL26	TRICHOME BIREFRINGENCE-LIKE 26	2.13	6.9E-21	2.73	4.1E-29	blue
AT5G24420	PGL5	6-phosphogluconolactonase 5	2.13	3.8E-12	2.39	1.5E-18	blue
AT3G61920			2.13	2.6E-06	3.27	4.9E-18	blue
AT3G04000		NAD(P)-binding Rossmann-fold superfamily protein	2.10	5.5E-08	3.07	3.0E-08	blue
AT3G08860	PYD4	PYRIMIDINE 4	2.10	3.4E-06	3.82	9.7E-16	blue
AT5G56840		myb-like transcription factor family protein	2.10	7.9E-06	3.22	2.5E-10	blue
AT1G19640	JMT	jasmonic acid carboxyl methyltransferase	2.09	7.3E-25	3.09	7.8E-26	blue
AT2G32510	MAPKKK17	mitogen-activated protein kinase kinase kinase 17	2.09	1.4E-07	3.09	3.0E-11	blue
AT4G34710	ADC2	arginine decarboxylase 2	2.08	3.2E-24	2.79	6.2E-16	blue
AT2G37260	TTG2	WRKY family transcription factor family protein	2.07	5.1E-12	3.19	4.8E-24	blue
AT4G33150		lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme	2.07	4.5E-11	3.63	1.8E-11	blue
AT1G30135	JAZ8	jasmonate-zim-domain protein 8	2.07	4.8E-02	3.63	5.0E-05	blue
AT5G19470	NUDT24	nudix hydrolase homolog 24	2.06	1.8E-05	3.40	1.6E-07	blue
AT3G25770	AOC2	allene oxide cyclase 2	2.06	4.2E-35	3.20	6.2E-31	blue
AT5G17490	RGL3	RGA-like protein 3	2.05	6.7E-06	2.58	4.0E-16	blue
AT1G31550		GDSL-like Lipase/Acylhydrolase superfamily protein	2.05	9.2E-34	2.67	1.6E-28	blue
AT4G31110		Wall-associated kinase family protein	2.04	1.8E-07	3.12	6.4E-12	blue
AT1G03940		HXXXD-type acyl-transferase family protein	2.04	1.1E-46	3.34	1.1E-35	blue
AT3G16490	IQD26	IQ-domain 26	2.04	3.0E-02	1.69	7.5E-03	blue
AT5G16190	CSLA11	cellulose synthase like A11	2.03	1.3E-20	1.84	1.9E-16	blue
AT1G72520	LOX4	PLAT/LH2 domain-containing lipoxygenase family protein	2.02	1.1E-03	2.50	1.6E-08	blue
AT3G26840	PES2	Esterase/lipase/thioesterase family protein	2.01	1.0E-09	3.56	1.7E-12	blue
AT5G42650	AOS	allene oxide synthase	2.01	6.7E-25	2.87	6.6E-31	blue
AT1G32640	MYC2	Basic helix-loop-helix (bHLH) DNA-binding family protein	2.01	7.4E-17	2.83	2.1E-23	blue
AT4G36110	SAUR9	SAUR-like auxin-responsive protein family 	2.01	3.5E-02	2.13	2.4E-03	blue
AT3G16460	JAL34	Mannose-binding lectin superfamily protein	2.00	4.0E-14	2.78	5.9E-19	blue
AT4G14090		UDP-Glycosyltransferase superfamily protein	2.00	9.4E-25	3.53	2.5E-50	blue
AT5G13930	CHS	Chalcone and stilbene synthase family protein	1.99	1.3E-44	3.89	3.9E-31	blue
AT1G52890	NAC019	NAC domain containing protein 19	1.99	8.3E-05	3.81	3.9E-13	blue
AT5G38710		Methylenetetrahydrofolate reductase family protein	1.99	9.7E-12	3.06	1.1E-14	blue
AT5G67210	IRX15-L	Protein of unknown function (DUF579)	1.97	2.3E-14	3.12	6.4E-14	blue
AT3G46650		UDP-Glycosyltransferase superfamily protein	1.93	7.7E-17	1.88	2.7E-11	blue
AT2G22860	PSK2	phytosulfokine 2 precursor	1.93	3.4E-07	3.48	1.4E-14	blue
AT4G35060	HIPP25	Heavy metal transport/detoxification superfamily protein 	1.93	2.2E-09	1.46	5.3E-04	blue
AT5G52882		P-loop containing nucleoside triphosphate hydrolases superfamily protein	1.91	5.0E-12	1.65	1.6E-05	blue
AT5G10625			1.90	7.9E-07	3.25	2.4E-13	blue
AT1G09155	PP2-B15	phloem protein 2-B15	1.90	3.9E-02	1.77	8.0E-04	blue
AT2G22330	CYP79B3	"cytochrome P450, family 79, subfamily B, polypeptide 3"	1.88	1.0E-12	1.60	1.4E-15	blue
AT2G17470	ALMT6	Aluminium activated malate transporter family protein	1.85	2.1E-09	2.88	6.8E-22	blue
AT2G23010	SCPL9	serine carboxypeptidase-like 9	1.82	5.5E-26	2.75	5.3E-44	blue
AT1G76650	CML38	calmodulin-like 38	1.81	1.0E-02	4.03	1.1E-07	blue
AT2G38760	ANNAT3	annexin 3	1.81	2.6E-22	2.14	3.3E-13	blue
AT1G61800	GPT2	glucose-6-phosphate/phosphate translocator 2	1.81	1.7E-06	2.47	1.7E-11	blue
AT1G09157		Protein of unknown function (DUF679)	1.80	4.2E-02	2.89	1.6E-08	blue
AT3G17690	CNGC19	cyclic nucleotide gated channel 19	1.80	4.0E-02	3.72	1.6E-06	blue
AT5G59820	RHL41	C2H2-type zinc finger family protein	1.79	3.0E-03	3.45	5.2E-06	blue
AT3G28740	CYP81D11	Cytochrome P450 superfamily protein	1.77	1.4E-05	3.57	1.0E-11	blue
AT3G15950	NAI2	DNA topoisomerase-related	1.77	7.0E-09	2.42	2.2E-10	blue
AT1G77520		O-methyltransferase family protein	1.77	5.1E-08	2.81	4.1E-08	blue
AT1G51760	IAR3	peptidase M20/M25/M40 family protein	1.77	7.1E-17	2.01	2.0E-07	blue
AT1G74950	TIFY10B	TIFY domain/Divergent CCT motif family protein	1.76	4.3E-13	2.46	7.4E-15	blue
AT1G66760		MATE efflux family protein	1.76	1.3E-07	2.27	4.9E-15	blue
AT2G43550		Scorpion toxin-like knottin superfamily protein	1.75	1.5E-42	2.30	4.0E-37	blue
AT1G30040	GA2OX2	gibberellin 2-oxidase	1.74	1.7E-03	2.49	1.0E-07	blue
AT1G04980	PDIL2-2	PDI-like 2-2	1.73	1.5E-11	3.21	2.0E-15	blue
AT3G28270		Protein of unknown function (DUF677)	1.73	7.8E-15	1.77	3.8E-19	blue
AT2G38750	ANNAT4	annexin 4	1.73	1.1E-33	2.24	2.9E-14	blue
AT1G56650	PAP1	production of anthocyanin pigment 1	1.70	2.6E-25	3.45	1.4E-37	blue
AT3G55110	ABCG18	ABC-2 type transporter family protein	1.69	8.0E-14	1.72	4.4E-11	blue
AT3G16400	NSP1	nitrile specifier protein 1	1.68	1.2E-11	1.29	2.8E-06	blue
AT1G72450	JAZ6	jasmonate-zim-domain protein 6	1.68	7.2E-09	1.41	9.1E-09	blue
AT5G44390		FAD-binding Berberine family protein	1.68	9.5E-06	2.94	2.6E-20	blue
AT4G39030	EDS5	MATE efflux family protein	1.67	2.1E-03	2.39	1.5E-06	blue
AT5G02940		Protein of unknown function (DUF1012)	1.67	1.6E-41	1.80	2.2E-20	blue
AT1G06620		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	1.67	4.1E-08	3.46	3.7E-15	blue
AT1G29330	ERD2	ER lumen protein retaining receptor family protein	1.66	4.2E-16	2.01	7.7E-16	blue
AT1G68600		Aluminium activated malate transporter family protein	1.66	1.7E-11	2.99	5.0E-25	blue
AT5G65280	GCL1	GCR2-like 1	1.66	6.6E-12	1.83	3.7E-13	blue
AT1G06640		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	1.65	1.0E-25	3.11	9.9E-22	blue
AT1G34580		Major facilitator superfamily protein	1.65	4.9E-03	2.08	1.0E-05	blue
AT2G39420		alpha/beta-Hydrolases superfamily protein	1.63	5.8E-16	2.66	4.7E-28	blue
AT2G22200		Integrase-type DNA-binding superfamily protein	1.61	2.0E-06	2.08	1.2E-16	blue
AT1G75300		NmrA-like negative transcriptional regulator family protein	1.61	4.5E-08	1.89	1.5E-13	blue
AT2G43535		Scorpion toxin-like knottin superfamily protein	1.61	2.2E-19	2.58	2.6E-13	blue
AT4G24010	CSLG1	cellulose synthase like G1	1.60	2.8E-15	2.36	8.7E-27	blue
AT3G49570	LSU3	response to low sulfur 3	1.60	1.1E-02	3.50	8.6E-16	blue
AT1G70690	HWI1	Receptor-like protein kinase-related family protein	1.59	7.8E-06	1.98	2.6E-06	blue
AT5G19230		Glycoprotein membrane precursor GPI-anchored	1.58	2.5E-03	2.45	2.2E-08	blue
AT2G34070	TBL37	TRICHOME BIREFRINGENCE-LIKE 37	1.57	1.1E-07	2.56	6.8E-07	blue
AT1G52100		Mannose-binding lectin superfamily protein	1.57	1.8E-02	1.56	1.9E-05	blue
AT1G73330	DR4	drought-repressed 4	1.56	4.0E-06	5.06	1.1E-68	blue
AT1G78660	GGH1	gamma-glutamyl hydrolase 1	1.56	6.6E-24	2.23	2.0E-19	blue
AT1G67070	DIN9	"Mannose-6-phosphate isomerase, type I"	1.55	3.9E-12	2.12	1.9E-28	blue
AT1G20515		other RNA	1.55	5.7E-06	2.67	4.3E-21	blue
