Gene.ID	Root.1.hr.log2FoldChange	padj	Bnapus_gene_name	Bnapus_gene_symbol	Bnapus_position	Bnapus_description	Athaliana_gene	Athaliana_gene_symbol	Athaliana_position	Athaliana_description	pident	evalue	bitscore	top2_bitscore_diff	GO_id	INTERPRO_id
GSBRNA2T00000286001	2.362260799	0.012019842	CDY08512	BnaA05g27480D	supercontig:AST_PRJEB5043_v1:LK031986:508297:510724:1	BnaA05g27480D protein	AT3G11580	NA	chromosome:TAIR10:3:3649370:3651726:-1	AP2/B3-like transcriptional factor family protein	82.984	0	667	NA	GO:0003677	IPR003340;IPR015300
GSBRNA2T00000314001	2.577999806	0.001644484	CDY08534	BnaA05g27700D	supercontig:AST_PRJEB5043_v1:LK031986:605459:607287:-1	Glycosyltransferase	AT3G11340	NA	chromosome:TAIR10:3:3556554:3558361:1	Glycosyltransferase	86.266	0	1459	NA	GO:0008152	IPR002213
GSBRNA2T00000318001	1.00774537	0.040746883	CDY08538	BnaA05g27740D	supercontig:AST_PRJEB5043_v1:LK031986:621434:622630:1	BnaA05g27740D protein	AT3G11280	NA	chromosome:TAIR10:3:3533211:3534994:-1	Duplicated homeodomain-like superfamily protein	87.892	0	809	400	GO:0003677;GO:0003682	IPR001005;IPR006447;IPR009057;IPR017884;IPR017930
GSBRNA2T00000320001	4.641740397	0.00873795	CDY08539	BnaA05g27750D	supercontig:AST_PRJEB5043_v1:LK031986:631890:632767:-1	BnaA05g27750D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0003677;GO:0003700;GO:0043565	IPR001356;IPR009057
GSBRNA2T00000330001	1.830887202	0.006345218	CDY08548	BnaA05g27840D	supercontig:AST_PRJEB5043_v1:LK031986:668204:670700:-1	BnaA05g27840D protein	AT3G11170	FAD7	chromosome:TAIR10:3:3499537:3502452:1	sn-2 acyl-lipid omega-3 desaturase (ferredoxin), chloroplastic	91.805	0	1513	399	GO:0006629;GO:0055114	IPR005804;IPR021863
GSBRNA2T00000340001	6.955285563	1.88e-07	CDY08557	BnaA05g27930D	supercontig:AST_PRJEB5043_v1:LK031986:701732:702676:-1	BnaA05g27930D protein	AT2G40340	DREB2C	chromosome:TAIR10:2:16848160:16850487:-1	Integrase-type DNA-binding superfamily protein	80.153	4.16e-18	93.5	14.8	GO:0003677;GO:0003700	IPR001471;IPR016177
GSBRNA2T00000349001	1.516062781	0.028620259	CDY08563	BnaA05g27990D	supercontig:AST_PRJEB5043_v1:LK031986:743754:744210:1	BnaA05g27990D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00000353001	1.935204757	0.005489071	CDY08567	BnaA05g28030D	supercontig:AST_PRJEB5043_v1:LK031986:749099:750679:1	Reticulon-like protein	AT3G10915	NA	chromosome:TAIR10:3:3415975:3417788:-1	Reticulon family protein	88.75	0	686	NA	GO:0005783	IPR003388
GSBRNA2T00000358001	3.013867056	0.026811953	CDY08569	BnaA05g28050D	supercontig:AST_PRJEB5043_v1:LK031986:757693:758889:1	BnaA05g28050D protein	AT3G10870	MES17	chromosome:TAIR10:3:3400824:3402776:-1	Methylesterase 17	86.893	0	918	NA	NA	NA
GSBRNA2T00000364001	0.916508319	0.05185606	CDY08575	BnaA05g28110D	supercontig:AST_PRJEB5043_v1:LK031986:773648:774623:1	BnaA05g28110D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00000366001	3.868323076	0.000235847	CDY08576	BnaA05g28120D	supercontig:AST_PRJEB5043_v1:LK031986:775122:776148:1	BnaA05g28120D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0005515;GO:0008270	IPR001841;IPR013083
GSBRNA2T00000396001	1.817441981	1.76e-05	CDY08603	BnaA05g28390D	supercontig:AST_PRJEB5043_v1:LK031986:876796:879505:-1	BnaA05g28390D protein	AT3G10450	SCPL7	chromosome:TAIR10:3:3249526:3252582:1	SCPL7	86.821	0	1382	286	GO:0004185;GO:0006508	IPR001563
GSBRNA2T00000439001	-6.656223471	0.000104747	CDY08628	BnaC04g19370D	supercontig:AST_PRJEB5043_v1:LK031987:189859:191116:-1	BnaC04g19370D protein	AT1G62280	SLAH1	chromosome:TAIR10:1:23007044:23008610:-1	SLAH1	85.279	0	1181	209	GO:0016021;GO:0055085	IPR004695
GSBRNA2T00000453001	2.003419728	0.000191546	CDY08634	BnaC04g19430D	supercontig:AST_PRJEB5043_v1:LK031987:270917:273638:-1	BnaC04g19430D protein	AT1G62300	WRKY6	chromosome:TAIR10:1:23016569:23019494:-1	Putative uncharacterized protein At1g62300	82.081	0	712	NA	GO:0003700;GO:0043565	IPR003657
GSBRNA2T00000484001	2.384978517	0.034897245	CDY08654	BnaC04g19630D	supercontig:AST_PRJEB5043_v1:LK031987:540727:542633:1	BnaC04g19630D protein	AT1G62380	ACO2	chromosome:TAIR10:1:23082036:23084253:1	1-aminocyclopropane-1-carboxylate oxidase 2	88.808	0	1181	366	GO:0016491;GO:0055114	IPR005123;IPR026992
GSBRNA2T00000498001	4.073226677	1.23e-05	CDY08660	BnaC04g19690D	supercontig:AST_PRJEB5043_v1:LK031987:654300:655226:-1	BnaC04g19690D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0005507;GO:0009055	IPR003245;IPR008972
GSBRNA2T00000574001	1.187149131	0.000995684	CDY08691	BnaC03g54910D	supercontig:AST_PRJEB5043_v1:LK031988:315849:322157:1	BnaC03g54910D protein	AT3G44300	NIT2	chromosome:TAIR10:3:15983199:15985535:1	NIT2	84.397	0	691	447	GO:0006807	IPR000132;IPR003010
GSBRNA2T00000645001	1.655180743	0.012160654	CDY08721	BnaA06g25030D	supercontig:AST_PRJEB5043_v1:LK031989:33435:36038:-1	BnaA06g25030D protein	AT5G67480	BT4	chromosome:TAIR10:5:26930940:26932825:-1	BTB and TAZ domain protein 4	88.283	0	1182	NA	GO:0003712;GO:0004402;GO:0005515;GO:0005634;GO:0008270	IPR000197;IPR000210;IPR011333;IPR013069
GSBRNA2T00000656001	1.807894683	0.004075727	CDY08731	BnaA06g24930D	supercontig:AST_PRJEB5043_v1:LK031989:62229:62913:-1	BnaA06g24930D protein	AT5G67600	NA	chromosome:TAIR10:5:26959533:26960399:-1	Putative uncharacterized protein	92.369	1.5e-96	351	NA	NA	NA
GSBRNA2T00000670001	3.786313657	0.00652069	CDY08742	BnaA06g24820D	supercontig:AST_PRJEB5043_v1:LK031989:96950:97659:-1	BnaA06g24820D protein	AT5G65870	PSK5	chromosome:TAIR10:5:26351373:26352703:1	Phytosulfokines 5	87.336	6.96e-70	263	NA	GO:0005576;GO:0008083;GO:0008283	IPR009438
GSBRNA2T00000694001	2.890107749	0.002530113	CDY08763	BnaA06g24610D	supercontig:AST_PRJEB5043_v1:LK031989:219364:221220:-1	BnaA06g24610D protein	AT5G65690	PCK2	chromosome:TAIR10:5:26266180:26269687:1	phosphoenolpyruvate carboxykinase 2	89.849	0	937	NA	GO:0004611;GO:0004612;GO:0005524;GO:0006094;GO:0017076	IPR001272;IPR013035
GSBRNA2T00000695001	3.503639178	2.6e-07	CDY08764	BnaA06g24600D	supercontig:AST_PRJEB5043_v1:LK031989:221307:224261:-1	BnaA06g24600D protein	AT5G65690	PCK2	chromosome:TAIR10:5:26266180:26269687:1	phosphoenolpyruvate carboxykinase 2	89.782	0	2566	1592	GO:0004611;GO:0004612;GO:0005524;GO:0006094;GO:0017076	IPR001272;IPR008210;IPR013035;IPR015994
GSBRNA2T00000697001	-1.602904871	0.044312965	CDY08765	BnaA06g24590D	supercontig:AST_PRJEB5043_v1:LK031989:241989:244204:-1	BnaA06g24590D protein	AT5G65683	NA	chromosome:TAIR10:5:26261136:26264170:1	C3H4 type zinc finger protein	80.846	0	1585	NA	GO:0005515;GO:0008270	IPR001841;IPR002035;IPR013083
GSBRNA2T00000741001	2.670789924	0.004497714	CDY08796	BnaA06g24280D	supercontig:AST_PRJEB5043_v1:LK031989:491208:494662:1	Protein DETOXIFICATION	AT5G65380	DTX27	chromosome:TAIR10:5:26122937:26126560:-1	Protein DETOXIFICATION 27	87.487	0	1064	NA	GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085	IPR002528
GSBRNA2T00000750001	-2.544249136	0.006098467	CDY08798	BnaA06g24260D	supercontig:AST_PRJEB5043_v1:LK031989:515392:516975:1	BnaA06g24260D protein	AT5G65380	DTX27	chromosome:TAIR10:5:26122937:26126560:-1	Protein DETOXIFICATION 27	84.959	0	974	NA	GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085	IPR002528
GSBRNA2T00000765001	2.01506351	2.91e-06	CDY08807	BnaA06g24170D	supercontig:AST_PRJEB5043_v1:LK031989:600767:606499:1	BnaA06g24170D protein	AT5G65240	NA	chromosome:TAIR10:5:26074683:26078259:-1	Probable LRR receptor-like serine/threonine-protein kinase	89.597	0	2270	703	GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468	IPR000719;IPR002290;IPR008271;IPR011009;IPR013210;IPR013320;IPR017441;IPR020635;IPR025875
GSBRNA2T00000774001	-1.966561981	0.041306618	CDY08814	BnaA06g24100D	supercontig:AST_PRJEB5043_v1:LK031989:672791:674750:1	BnaA06g24100D protein	AT5G65160	TPR14	chromosome:TAIR10:5:26031184:26034030:-1	At5g65160	88.147	0	1354	NA	GO:0005515	IPR011990;IPR013026;IPR013105;IPR019734
GSBRNA2T00000775001	2.931239248	1.42e-08	CDY08815	BnaA06g24090D	supercontig:AST_PRJEB5043_v1:LK031989:697995:700016:1	Trehalose 6-phosphate phosphatase	AT5G65140	TPPJ	chromosome:TAIR10:5:26019457:26022380:-1	Probable trehalose-phosphate phosphatase J	90.338	0	1389	616	GO:0003824;GO:0005992;GO:0008152	IPR003337;IPR006379;IPR023214
GSBRNA2T00000782001	1.825742872	0.009098183	CDY08820	BnaA06g24040D	supercontig:AST_PRJEB5043_v1:LK031989:725427:728328:1	Acyl-coenzyme A oxidase	AT5G65110	ACX2	chromosome:TAIR10:5:26009521:26012684:-1	Acyl-coenzyme A oxidase 2, peroxisomal	87.033	0	2285	NA	GO:0003995;GO:0003997;GO:0005777;GO:0006631;GO:0006635;GO:0008152;GO:0050660;GO:0055114	IPR002655;IPR006090;IPR006091;IPR009075;IPR009100;IPR012258
GSBRNA2T00000794001	2.733145268	4.01e-06	CDY08830	BnaA06g23940D	supercontig:AST_PRJEB5043_v1:LK031989:777492:780652:1	BnaA06g23940D protein	AT5G65000	NA	chromosome:TAIR10:5:25964929:25967449:-1	CMP-sialic acid transporter 5	89.253	0	1210	NA	GO:0000139;GO:0005351;GO:0008643;GO:0016021	IPR007271
GSBRNA2T00000802001	-1.699918852	0.031072875	CDY08837	BnaA06g23870D	supercontig:AST_PRJEB5043_v1:LK031989:823924:828430:-1	BnaA06g23870D protein	AT5G64940	ATATH13	chromosome:TAIR10:5:25948954:25953822:1	ABC transporter-like	89.166	0	2804	NA	NA	IPR004147;IPR011009
GSBRNA2T00000806001	4.256309375	1.53e-06	CDY08840	BnaA06g23840D	supercontig:AST_PRJEB5043_v1:LK031989:837279:837703:-1	BnaA06g23840D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00000809001	3.889533257	0.000303914	CDY08843	BnaA06g23810D	supercontig:AST_PRJEB5043_v1:LK031989:846912:849063:1	BnaA06g23810D protein	AT5G64870	FLOT3	chromosome:TAIR10:5:25929432:25931384:-1	Flotillin-like protein 3	88.023	0	1666	598	NA	IPR001107
GSBRNA2T00000817001	4.019153986	7.16e-07	CDY08849	BnaA06g23750D	supercontig:AST_PRJEB5043_v1:LK031989:863322:864615:-1	BnaA06g23750D protein	AT5G64810	WRKY51	chromosome:TAIR10:5:25908247:25909881:1	Probable WRKY transcription factor 51	85.473	3.63e-171	601	NA	GO:0003700;GO:0043565	IPR003657
GSBRNA2T00000822001	7.81234698	2.23e-07	CDY08853	BnaA06g23710D	supercontig:AST_PRJEB5043_v1:LK031989:876861:879252:-1	BnaA06g23710D protein	AT5G64750	ABR1	chromosome:TAIR10:5:25891449:25893888:1	Ethylene-responsive transcription factor ABR1	82.436	0	1005	NA	GO:0003677;GO:0003700	IPR001471;IPR016177
GSBRNA2T00000824001	-1.180096816	0.011160288	CDY08854	BnaA06g23700D	supercontig:AST_PRJEB5043_v1:LK031989:887646:893881:-1	Cellulose synthase	AT5G64740	CESA6	chromosome:TAIR10:5:25881033:25886728:1	Cellulose synthase A catalytic subunit 6 [UDP-forming]	90.722	0	4333	1394	GO:0005515;GO:0008270;GO:0016020;GO:0016760;GO:0030244	IPR001841;IPR005150;IPR013083
GSBRNA2T00000837001	3.420571089	7.4e-07	CDY08864	BnaA06g23600D	supercontig:AST_PRJEB5043_v1:LK031989:957634:959042:1	RING-type E3 ubiquitin transferase	AT5G64660	PUB27	chromosome:TAIR10:5:25841913:25843555:-1	U-box domain-containing protein 27	87.094	0	1426	NA	GO:0000151;GO:0004842;GO:0005488;GO:0016567	IPR003613;IPR011989;IPR013083;IPR016024
GSBRNA2T00000877001	2.349336014	0.008654051	CDY08885	BnaC08g11150D	supercontig:AST_PRJEB5043_v1:LK031990:219002:221499:-1	BnaC08g11150D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR025875
GSBRNA2T00000878001	-0.978163339	0.015664593	CDY08886	BnaC08g11160D	supercontig:AST_PRJEB5043_v1:LK031990:222702:223764:-1	BnaA01g08920D protein	AT4G18100	RPL32A	chromosome:TAIR10:4:10035468:10036647:-1	60S ribosomal protein L32-1	94.03	3.82e-174	610	111	GO:0003735;GO:0005622;GO:0005840;GO:0006412	IPR001515;IPR018263
GSBRNA2T00000899001	4.797106488	0.000322517	CDY08894	BnaC08g11240D	supercontig:AST_PRJEB5043_v1:LK031990:318247:319405:1	BnaC08g11240D protein	AT4G18170	WRKY28	chromosome:TAIR10:4:10061214:10062893:1	Probable WRKY transcription factor 28	84.161	6.76e-170	597	414	GO:0003700;GO:0043565	IPR003657
GSBRNA2T00000900001	5.180290031	0.005555584	CDY08895	BnaC08g11250D	supercontig:AST_PRJEB5043_v1:LK031990:329628:330944:1	BnaC08g11250D protein	AT4G18195	PUP8	chromosome:TAIR10:4:10069458:10071115:1	Probable purine permease 8	86.452	0	1286	NA	NA	IPR004853
GSBRNA2T00001024001	4.519847309	1.86e-08	CDY08970	BnaC08g12000D	supercontig:AST_PRJEB5043_v1:LK031990:907485:909002:1	BnaC08g12000D protein	AT4G25300	NA	chromosome:TAIR10:4:12945120:12946778:1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	85.878	0	1114	63	GO:0016491;GO:0055114	IPR005123;IPR026992
GSBRNA2T00001084001	3.475264253	0.000637179	CDY08989	BnaC01g31020D	supercontig:AST_PRJEB5043_v1:LK031991:373894:375186:1	BnaC01g31020D protein	AT3G23250	MYB15	chromosome:TAIR10:3:8309209:8310910:1	Transcription factor MYB15	88.235	7.79e-174	610	NA	GO:0003677;GO:0003682	IPR001005;IPR009057;IPR017930
GSBRNA2T00001126001	-2.394592408	2.18e-05	CDY09011	BnaC01g30800D	supercontig:AST_PRJEB5043_v1:LK031991:603961:607410:-1	BnaC01g30800D protein	AT3G23430	PHO1	chromosome:TAIR10:3:8387398:8393467:-1	Phosphate transporter PHO1	88.045	0	2111	NA	GO:0016021	IPR004331;IPR004342
GSBRNA2T00001127001	-2.625422559	0.007215931	CDY09012	BnaC01g30790D	supercontig:AST_PRJEB5043_v1:LK031991:607690:608896:1	BnaC01g30790D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00001128001	-2.642907445	5.84e-05	CDY09013	BnaC01g30780D	supercontig:AST_PRJEB5043_v1:LK031991:608954:611841:-1	BnaC01g30780D protein	AT3G23430	PHO1	chromosome:TAIR10:3:8387398:8393467:-1	Phosphate transporter PHO1	88.401	0	680	NA	NA	IPR004331
GSBRNA2T00001138001	4.705053403	0.003742084	CDY09021	BnaC01g30700D	supercontig:AST_PRJEB5043_v1:LK031991:725421:729716:1	BnaC01g30700D protein	AT3G23510	NA	chromosome:TAIR10:3:8427557:8433340:1	Cyclopropane-fatty-acyl-phospholipid synthase	84.956	0	1349	34	GO:0008610	IPR003333
GSBRNA2T00001165001	3.337638346	4.04e-13	CDY09031	BnaC01g30600D	supercontig:AST_PRJEB5043_v1:LK031991:839443:841842:-1	Protein DETOXIFICATION	AT3G23560	DTX19	chromosome:TAIR10:3:8453903:8456708:-1	Protein DETOXIFICATION 19	87.447	0	1615	108	GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085	IPR002528
GSBRNA2T00001177001	2.589191904	0.00045702	CDY09036	BnaC01g30550D	supercontig:AST_PRJEB5043_v1:LK031991:916999:924118:1	BnaC01g30550D protein	AT3G23600	NA	chromosome:TAIR10:3:8473627:8476024:1	AT3g23600/MDB19_9	85.833	0	761	NA	GO:0016787	IPR002925
GSBRNA2T00001243001	3.377393665	4.28e-07	CDY09068	BnaC08g10220D	supercontig:AST_PRJEB5043_v1:LK031992:429467:430897:-1	Glycosyltransferase	NA	NA	NA	NA	NA	NA	NA	NA	GO:0008152	IPR002213
GSBRNA2T00001291001	-1.822153194	0.011365558	CDY09084	BnaC08g10380D	supercontig:AST_PRJEB5043_v1:LK031992:893782:897539:1	BnaC08g10380D protein	AT4G35160	NA	chromosome:TAIR10:4:16730703:16732923:-1	O-methyltransferase family protein	85.1	0	710	26	GO:0008168;GO:0008171;GO:0046983	IPR001077;IPR011991;IPR012967;IPR016461
GSBRNA2T00001296001	-1.876514279	6.49e-06	CDY09085	BnaA02g05110D	supercontig:AST_PRJEB5043_v1:LK031993:1679:5120:-1	BnaA02g05110D protein	AT5G20890	CCT2	chromosome:TAIR10:5:7086653:7090169:-1	T-complex protein 1 subunit beta	90.909	0	2128	NA	GO:0005524;GO:0006457;GO:0044267;GO:0051082	IPR002194;IPR002423;IPR012716;IPR017998
GSBRNA2T00001301001	-1.907825642	2.02e-07	CDY09090	BnaA02g05160D	supercontig:AST_PRJEB5043_v1:LK031993:16405:20369:-1	BnaA02g05160D protein	AT5G20950	NA	chromosome:TAIR10:5:7107273:7111352:-1	Glycosyl hydrolase family protein	87.356	0	2156	1103	GO:0005975	IPR001764;IPR002772;IPR017853;IPR026892
GSBRNA2T00001302001	3.71118203	7.27e-12	CDY09091	BnaA02g05170D	supercontig:AST_PRJEB5043_v1:LK031993:25765:33089:1	BnaA02g05170D protein	AT5G20960	AAO1	chromosome:TAIR10:5:7116687:7122774:1	Indole-3-acetaldehyde oxidase	86.669	0	2641	NA	GO:0003824;GO:0005506;GO:0009055;GO:0016491;GO:0046872;GO:0050660;GO:0051536;GO:0055114	IPR000674;IPR001041;IPR002346;IPR002888;IPR005107;IPR006058;IPR008274;IPR012675;IPR016166;IPR016169;IPR016208
GSBRNA2T00001312001	1.6582906	2.61e-07	CDY09096	BnaA02g05220D	supercontig:AST_PRJEB5043_v1:LK031993:72032:74785:1	BnaA02g05220D protein	AT5G21090	LRR1	chromosome:TAIR10:5:7164560:7167351:1	Leucine-rich repeat protein 1	86.574	0	713	NA	GO:0005515	IPR001611;IPR013210;IPR025875
GSBRNA2T00001314001	-3.337584273	0.001215969	CDY09097	BnaA02g05230D	supercontig:AST_PRJEB5043_v1:LK031993:80585:83162:1	BnaA02g05230D protein	AT5G21100	NA	chromosome:TAIR10:5:7168106:7170961:1	Ascorbate oxidase-like protein	82.996	0	1546	NA	GO:0005507;GO:0005576;GO:0016491;GO:0055114	IPR001117;IPR002355;IPR008972;IPR011706;IPR011707;IPR017760
GSBRNA2T00001324001	-0.735780112	0.022502943	CDY09106	BnaA02g05320D	supercontig:AST_PRJEB5043_v1:LK031993:123333:124555:-1	BnaA02g05320D protein	AT5G21274	CAM6	chromosome:TAIR10:5:7214474:7216052:-1	CAM6	90.444	4.33e-169	593	116	GO:0005509	IPR002048;IPR011992;IPR018247
GSBRNA2T00001330001	3.481694312	1.45e-07	CDY09110	BnaA02g05360D	supercontig:AST_PRJEB5043_v1:LK031993:147614:148705:-1	BnaA02g05360D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00001337001	2.356840398	3.34e-08	CDY09115	BnaA02g05410D	supercontig:AST_PRJEB5043_v1:LK031993:184591:187256:1	BnaA02g05410D protein	AT5G22000	RHF2A	chromosome:TAIR10:5:7277182:7280344:1	E3 ubiquitin-protein ligase RHF2A	87.856	0	767	NA	GO:0005515;GO:0008270	IPR001841;IPR013083
GSBRNA2T00001343001	-1.703976297	0.000218359	CDY09119	BnaA02g05450D	supercontig:AST_PRJEB5043_v1:LK031993:205444:207048:-1	BnaA02g05450D protein	AT5G22090	NA	chromosome:TAIR10:5:7314583:7316729:-1	Protein FAF-like, chloroplastic	79.451	0	887	NA	NA	IPR021410
GSBRNA2T00001358001	6.775363872	1.36e-22	CDY09130	BnaA02g05560D	supercontig:AST_PRJEB5043_v1:LK031993:264309:266305:1	BnaA02g05560D protein	AT5G22300	NIT4	chromosome:TAIR10:5:7379187:7382025:1	Bifunctional nitrilase/nitrile hydratase NIT4	86.78	0	1171	NA	GO:0006807	IPR000132;IPR003010
GSBRNA2T00001362001	2.493192954	0.012844419	CDY09134	BnaA02g05600D	supercontig:AST_PRJEB5043_v1:LK031993:278359:279790:-1	BnaA02g05600D protein	AT5G22380	NAC090	chromosome:TAIR10:5:7408759:7410102:-1	NAC-domain protein-like	88.983	0	876	NA	GO:0003677	IPR003441
GSBRNA2T00001377001	3.545739338	0.03417537	CDY09147	BnaA02g05730D	supercontig:AST_PRJEB5043_v1:LK031993:344908:346129:-1	BnaA02g05730D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0003700;GO:0043565	IPR003657
GSBRNA2T00001383001	3.522672019	8.83e-14	CDY09152	BnaA02g05780D	supercontig:AST_PRJEB5043_v1:LK031993:363508:365163:1	Arogenate dehydratase	AT5G22630	ADT5	chromosome:TAIR10:5:7524086:7526270:1	Arogenate dehydratase	85.972	0	1360	NA	GO:0004664;GO:0009094	IPR001086;IPR018528
GSBRNA2T00001405001	1.726670247	0.001309026	CDY09172	BnaA02g05980D	supercontig:AST_PRJEB5043_v1:LK031993:459623:461592:-1	BnaA02g05980D protein	AT5G22850	NA	chromosome:TAIR10:5:7633373:7636576:-1	Aspartyl protease family protein	89.902	0	1435	NA	GO:0004190;GO:0006508	IPR001461;IPR021109
GSBRNA2T00001407001	-2.126139576	0.0031993	CDY09174	BnaA02g06000D	supercontig:AST_PRJEB5043_v1:LK031993:477058:480098:-1	BnaA02g06000D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0006508;GO:0008236	IPR008758
GSBRNA2T00001440001	2.911954319	2.22e-05	CDY09196	BnaA02g06220D	supercontig:AST_PRJEB5043_v1:LK031993:692625:693947:1	BnaA02g06220D protein	AT5G60540	PDX2	chromosome:TAIR10:5:24336623:24338802:-1	PDX2	89.06	0	802	NA	NA	IPR002161;IPR021196
