Gene.ID	log2FoldChange	padj	Bnapus_gene_name	Bnapus_gene_symbol	Bnapus_position	Bnapus_description	Athaliana_gene	Athaliana_gene_symbol	Athaliana_position	Athaliana_description	pident	evalue	bitscore	top2_bitscore_diff	GO_id	INTERPRO_id
GSBRNA2T00000642001	2.043844385	0.006252698	CDY08718	BnaA06g25060D	supercontig:AST_PRJEB5043_v1:LK031989:23755:24815:-1	BnaA06g25060D protein	AT5G67450	AZF1	chromosome:TAIR10:5:26918765:26920179:-1	ZF1	82.656	3.28e-177	621	NA	GO:0005622;GO:0008270	IPR007087;IPR015880
GSBRNA2T00000684001	0.863787545	0.026457762	CDY08754	BnaA06g24700D	supercontig:AST_PRJEB5043_v1:LK031989:183335:186898:-1	BnaA06g24700D protein	AT5G65750	NA	chromosome:TAIR10:5:26303673:26308237:1	2-oxoglutarate dehydrogenase, E1 component	89.53	0	3422	NA	GO:0004591;GO:0006099;GO:0008152;GO:0030976;GO:0055114	IPR001017;IPR005475;IPR011603
GSBRNA2T00000687001	1.844995511	4.23e-05	CDY08756	BnaA06g24680D	supercontig:AST_PRJEB5043_v1:LK031989:190663:192232:-1	Xyloglucan endotransglucosylase/hydrolase	AT5G65730	XTH6	chromosome:TAIR10:5:26298728:26300529:1	Xyloglucan endotransglucosylase/hydrolase	90.107	0	1088	701	GO:0005618;GO:0005975;GO:0006073;GO:0016762;GO:0048046	IPR000757;IPR008263;IPR008985;IPR010713;IPR013320;IPR016455
GSBRNA2T00000694001	2.678623122	0.027637728	CDY08763	BnaA06g24610D	supercontig:AST_PRJEB5043_v1:LK031989:219364:221220:-1	BnaA06g24610D protein	AT5G65690	PCK2	chromosome:TAIR10:5:26266180:26269687:1	phosphoenolpyruvate carboxykinase 2	89.849	0	937	NA	GO:0004611;GO:0004612;GO:0005524;GO:0006094;GO:0017076	IPR001272;IPR013035
GSBRNA2T00000695001	3.60261391	8.72e-07	CDY08764	BnaA06g24600D	supercontig:AST_PRJEB5043_v1:LK031989:221307:224261:-1	BnaA06g24600D protein	AT5G65690	PCK2	chromosome:TAIR10:5:26266180:26269687:1	phosphoenolpyruvate carboxykinase 2	89.782	0	2566	1592	GO:0004611;GO:0004612;GO:0005524;GO:0006094;GO:0017076	IPR001272;IPR008210;IPR013035;IPR015994
GSBRNA2T00000760001	1.017884194	0.031684968	CDY08803	BnaA06g24210D	supercontig:AST_PRJEB5043_v1:LK031989:590553:592555:1	BnaA06g24210D protein	AT5G65280	GCL1	chromosome:TAIR10:5:26085593:26088277:-1	LanC-like protein GCL1	86.008	0	1369	NA	NA	IPR007822;IPR020464
GSBRNA2T00000806001	3.018159323	0.001177278	CDY08840	BnaA06g23840D	supercontig:AST_PRJEB5043_v1:LK031989:837279:837703:-1	BnaA06g23840D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00000809001	2.288517075	0.050657279	CDY08843	BnaA06g23810D	supercontig:AST_PRJEB5043_v1:LK031989:846912:849063:1	BnaA06g23810D protein	AT5G64870	FLOT3	chromosome:TAIR10:5:25929432:25931384:-1	Flotillin-like protein 3	88.023	0	1666	598	NA	IPR001107
GSBRNA2T00000817001	3.082362178	0.000599543	CDY08849	BnaA06g23750D	supercontig:AST_PRJEB5043_v1:LK031989:863322:864615:-1	BnaA06g23750D protein	AT5G64810	WRKY51	chromosome:TAIR10:5:25908247:25909881:1	Probable WRKY transcription factor 51	85.473	3.63e-171	601	NA	GO:0003700;GO:0043565	IPR003657
GSBRNA2T00000820001	1.291136466	0.023656418	CDY08852	BnaA06g23720D	supercontig:AST_PRJEB5043_v1:LK031989:872350:873037:1	BnaA06g23720D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00000822001	2.928988711	0.031387907	CDY08853	BnaA06g23710D	supercontig:AST_PRJEB5043_v1:LK031989:876861:879252:-1	BnaA06g23710D protein	AT5G64750	ABR1	chromosome:TAIR10:5:25891449:25893888:1	Ethylene-responsive transcription factor ABR1	82.436	0	1005	NA	GO:0003677;GO:0003700	IPR001471;IPR016177
GSBRNA2T00000871001	1.835515593	0.000281095	CDY08880	BnaC08g11100D	supercontig:AST_PRJEB5043_v1:LK031990:162858:164730:1	BnaC08g11100D protein	AT4G17900	NA	chromosome:TAIR10:4:9945778:9948157:1	At4g17900	90.205	0	883	NA	NA	IPR006734
GSBRNA2T00000873001	1.074072994	0.045144749	CDY08881	BnaC08g11110D	supercontig:AST_PRJEB5043_v1:LK031990:175951:177179:1	BnaC08g11110D protein	AT4G17940	NA	chromosome:TAIR10:4:9965742:9967013:1	Putative uncharacterized protein At4g17940	80.258	1.32e-151	536	NA	GO:0005515	IPR011990;IPR013026
GSBRNA2T00000899001	3.705830154	0.038636613	CDY08894	BnaC08g11240D	supercontig:AST_PRJEB5043_v1:LK031990:318247:319405:1	BnaC08g11240D protein	AT4G18170	WRKY28	chromosome:TAIR10:4:10061214:10062893:1	Probable WRKY transcription factor 28	84.161	6.76e-170	597	414	GO:0003700;GO:0043565	IPR003657
GSBRNA2T00001024001	2.265876774	0.002110752	CDY08970	BnaC08g12000D	supercontig:AST_PRJEB5043_v1:LK031990:907485:909002:1	BnaC08g12000D protein	AT4G25300	NA	chromosome:TAIR10:4:12945120:12946778:1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	85.878	0	1114	63	GO:0016491;GO:0055114	IPR005123;IPR026992
GSBRNA2T00001239001	0.641069117	0.041143804	CDY09066	BnaC08g10200D	supercontig:AST_PRJEB5043_v1:LK031992:405134:406504:1	BnaC08g10200D protein	AT4G15470	NA	chromosome:TAIR10:4:8843519:8845810:1	BI1-like protein	89.318	0	965	NA	NA	IPR006214
GSBRNA2T00001312001	1.032421637	0.011084342	CDY09096	BnaA02g05220D	supercontig:AST_PRJEB5043_v1:LK031993:72032:74785:1	BnaA02g05220D protein	AT5G21090	LRR1	chromosome:TAIR10:5:7164560:7167351:1	Leucine-rich repeat protein 1	86.574	0	713	NA	GO:0005515	IPR001611;IPR013210;IPR025875
GSBRNA2T00001323001	1.161983676	0.043252098	CDY09105	BnaA02g05310D	supercontig:AST_PRJEB5043_v1:LK031993:120941:123270:1	BnaA02g05310D protein	AT5G21170	AKINBETA1	chromosome:TAIR10:5:7205667:7208496:1	SNF1-related protein kinase regulatory subunit beta-1	87.955	0	928	NA	GO:0005515	IPR006828
GSBRNA2T00001354001	2.708815885	0.051888071	CDY09126	BnaA02g05520D	supercontig:AST_PRJEB5043_v1:LK031993:252375:252641:-1	BnaA02g05520D protein	AT5G22270	NA	chromosome:TAIR10:5:7372109:7373259:-1	AT5G22270 protein	83.333	1.34e-62	239	NA	NA	NA
GSBRNA2T00001389001	-0.8916733	0.001979581	CDY09158	BnaA02g05840D	supercontig:AST_PRJEB5043_v1:LK031993:393948:396765:1	BnaA02g05840D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00001435001	2.219556211	0.018009032	CDY09193	BnaA02g06190D	supercontig:AST_PRJEB5043_v1:LK031993:670203:673492:1	Protein disulfide-isomerase	AT5G60640	PDIL1-4	chromosome:TAIR10:5:24371007:24374038:-1	Protein disulfide-isomerase	86.65	0	1740	NA	GO:0005783;GO:0006662;GO:0009055;GO:0015035;GO:0016853;GO:0045454	IPR005746;IPR005788;IPR005792;IPR012336;IPR013766;IPR017937
GSBRNA2T00001465001	1.312047468	0.00152697	CDY09216	BnaA02g06420D	supercontig:AST_PRJEB5043_v1:LK031993:767219:769641:-1	BnaA02g06420D protein	AT5G60360	AALP	chromosome:TAIR10:5:24279660:24282482:1	Thiol protease aleurain	88.497	0	1301	516	GO:0006508;GO:0008234	IPR000169;IPR000668;IPR013128;IPR013201;IPR025660;IPR025661
GSBRNA2T00001485001	1.197474791	0.025719981	CDY09232	BnaA02g06580D	supercontig:AST_PRJEB5043_v1:LK031993:845132:847415:-1	Laccase	AT5G60020	LAC17	chromosome:TAIR10:5:24168245:24170223:1	Laccase	87.617	0	1973	NA	GO:0005507;GO:0016491;GO:0046274;GO:0048046;GO:0052716;GO:0055114	IPR001117;IPR002355;IPR008972;IPR011706;IPR011707;IPR017761
GSBRNA2T00001497001	-0.722411126	0.011872895	CDY09243	BnaA02g06690D	supercontig:AST_PRJEB5043_v1:LK031993:919270:920079:1	Histone H2A	AT5G59870	HTA6	chromosome:TAIR10:5:24115354:24116220:-1	Probable histone H2A.7	86.093	9.71e-136	483	NA	GO:0000786;GO:0003677;GO:0005634;GO:0006334;GO:0046982	IPR002119;IPR007125;IPR009072
GSBRNA2T00001501001	-1.225188559	0.001875355	CDY09247	BnaA02g06730D	supercontig:AST_PRJEB5043_v1:LK031993:922876:924079:1	40S ribosomal protein S15a	AT5G59850	RPS15AF	chromosome:TAIR10:5:24112156:24113617:-1	AT1G07770 protein	92.112	1.77e-157	555	78	GO:0003735;GO:0005622;GO:0005840;GO:0006412	IPR000630
GSBRNA2T00001515001	3.055048884	0.011717545	CDY09259	BnaC03g62890D	supercontig:AST_PRJEB5043_v1:LK031994:64364:65923:-1	BnaC03g62890D protein	AT4G18880	HSFA4A	chromosome:TAIR10:4:10347479:10349902:-1	Heat stress transcription factor A-4a	85.39	0	634	NA	GO:0003700;GO:0005634;GO:0043565	IPR000232;IPR011991;IPR026831
GSBRNA2T00001541001	-0.968856684	0.053465453	CDY09269	BnaC03g62990D	supercontig:AST_PRJEB5043_v1:LK031994:213802:218413:1	BnaC03g62990D protein	AT4G10200	NA	chromosome:TAIR10:4:6352957:6355609:1	Putative uncharacterized protein AT4g10200	82.857	1.55e-54	215	NA	NA	IPR025398
GSBRNA2T00001801001	1.265769656	0.011331126	CDY17597	BnaA06g34160D	supercontig:AST_PRJEB5043_v1:LK032076:39601:42098:-1	BnaA06g34160D protein	AT2G02390	ATGSTZ1	chromosome:TAIR10:2:628730:631165:1	glutathione S-transferase zeta 1	87.832	0	752	114	GO:0003824;GO:0005515;GO:0005737;GO:0009072	IPR004045;IPR005955;IPR010987;IPR012336;IPR017933
GSBRNA2T00001814001	-1.64406753	0.044798007	CDY17607	BnaA06g34260D	supercontig:AST_PRJEB5043_v1:LK032076:77396:79389:1	BnaA06g34260D protein	AT2G02170	NA	chromosome:TAIR10:2:556477:558891:-1	At2g02170/F5O4.6	88.042	0	893	NA	NA	IPR005516
GSBRNA2T00001832001	0.928272248	0.023752122	CDY17621	BnaA06g34400D	supercontig:AST_PRJEB5043_v1:LK032076:163582:166986:-1	BnaA06g34400D protein	AT2G01950	BRL2	chromosome:TAIR10:2:440624:444324:-1	Leucine-rich repeat receptor-like protein kinase	88.516	0	3858	NA	GO:0004672;GO:0004674;GO:0004713;GO:0005515;GO:0005524;GO:0006468	IPR000719;IPR001611;IPR002290;IPR003591;IPR008271;IPR011009;IPR013210;IPR013320;IPR017441;IPR020635
GSBRNA2T00001843001	1.630971874	1.61e-06	CDY17630	BnaA06g34490D	supercontig:AST_PRJEB5043_v1:LK032076:216065:218417:-1	Xyloglucan endotransglucosylase/hydrolase	AT2G01850	XTH27	chromosome:TAIR10:2:385171:387478:1	Probable xyloglucan endotransglucosylase/hydrolase protein 27	88.036	0	1186	NA	GO:0005618;GO:0005975;GO:0006073;GO:0016762;GO:0048046	IPR000757;IPR008985;IPR010713;IPR013320;IPR016455
GSBRNA2T00001867001	0.906018761	0.026413372	CDY17652	BnaA06g34710D	supercontig:AST_PRJEB5043_v1:LK032076:354702:357344:-1	BnaA06g34710D protein	AT2G01680	NA	chromosome:TAIR10:2:306251:309267:1	Ankyrin repeat-containing protein At2g01680	86.061	0	1714	NA	GO:0005515	IPR002110;IPR020683;IPR026961;IPR027001;IPR027002
GSBRNA2T00001924001	1.024906425	0.015633922	CDY17701	BnaA06g35200D	supercontig:AST_PRJEB5043_v1:LK032076:653182:657091:-1	BnaA06g35200D protein	AT1G03370	NA	chromosome:TAIR10:1:830550:835411:1	C2 and GRAM domain-containing protein At1g03370	87.074	0	3437	NA	GO:0005515	IPR000008;IPR004182;IPR008973;IPR018029;IPR020477
GSBRNA2T00001934001	4.165567793	0.00245677	CDY17709	BnaA06g35280D	supercontig:AST_PRJEB5043_v1:LK032076:682943:683934:-1	BnaA06g35280D protein	AT5G47740	NA	chromosome:TAIR10:5:19338511:19339775:1	Adenine nucleotide alpha hydrolases-like superfamily protein	84.375	0	710	NA	GO:0006950	IPR006016;IPR014729
GSBRNA2T00001957001	3.691511442	0.000279732	CDY17732	BnaC08g21400D	supercontig:AST_PRJEB5043_v1:LK032077:19671:20278:1	BnaC08g21400D protein	AT3G49845	NA	chromosome:TAIR10:3:18487411:18488298:1	WIH3	84.17	4.41e-63	241	NA	NA	NA
GSBRNA2T00002000001	1.784984484	0.021357058	CDY17756	BnaC08g21640D	supercontig:AST_PRJEB5043_v1:LK032077:380662:381327:1	BnaC08g21640D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0003677;GO:0003700	IPR001471;IPR016177
GSBRNA2T00002171001	2.572978982	0.052037927	CDY17847	BnaC04g03720D	supercontig:AST_PRJEB5043_v1:LK032079:25587:28539:-1	BnaC04g03720D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0003824;GO:0005975	IPR001360;IPR013781;IPR017853;IPR018120
GSBRNA2T00002189001	3.672334011	2.15e-06	CDY17855	BnaC04g03640D	supercontig:AST_PRJEB5043_v1:LK032079:83940:84668:1	BnaC04g03640D protein	AT2G44370	NA	chromosome:TAIR10:2:18321951:18323121:-1	At2g44370	83.245	0	665	280	GO:0047134;GO:0055114	IPR011424
GSBRNA2T00002234001	4.086736909	0.03388155	CDY17891	BnaC04g03280D	supercontig:AST_PRJEB5043_v1:LK032079:358176:358478:-1	BnaC04g03280D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00002241001	3.405350901	0.000162339	CDY17898	BnaC04g03210D	supercontig:AST_PRJEB5043_v1:LK032079:376624:377975:1	BnaC04g03210D protein	AT2G43940	HOL3	chromosome:TAIR10:2:18195677:18197767:-1	HOL3	78.12	5.16e-100	364	NA	GO:0008757	IPR008854
GSBRNA2T00002254001	2.817485149	6.86e-06	CDY17908	BnaC04g03110D	supercontig:AST_PRJEB5043_v1:LK032079:422285:423897:-1	Glycosyltransferase	AT2G43820	UGT74F2	chromosome:TAIR10:2:18152078:18153908:1	Glycosyltransferase	88.672	0	1622	NA	GO:0008152	IPR002213
GSBRNA2T00002284001	2.023191826	0.01520373	CDY17932	BnaC04g02870D	supercontig:AST_PRJEB5043_v1:LK032079:644930:646867:-1	BnaC04g02870D protein	AT2G43330	INT1	chromosome:TAIR10:2:18000822:18004195:1	Inositol transporter 1	87.565	0	1742	NA	GO:0005215;GO:0006810;GO:0016020;GO:0016021;GO:0022857;GO:0022891;GO:0055085	IPR003663;IPR005828;IPR005829;IPR016196;IPR020846
GSBRNA2T00002298001	1.636143663	1.53e-06	CDY17943	BnaC04g02760D	supercontig:AST_PRJEB5043_v1:LK032079:694621:698532:-1	BnaC04g02760D protein	AT2G43150	NA	chromosome:TAIR10:2:17945662:17947155:1	Proline-rich extensin-like family protein	84.95	2.17e-169	597	NA	NA	NA
GSBRNA2T00002311001	4.818028068	5.74e-10	CDY17948	BnaC03g30200D	supercontig:AST_PRJEB5043_v1:LK032080:28665:30123:1	Protein AIG1	AT1G33960	AIG1	chromosome:TAIR10:1:12346232:12348513:1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	80.288	0	667	NA	GO:0005525	IPR006703
GSBRNA2T00002383001	0.99455091	0.006785042	CDY18000	BnaC03g30720D	supercontig:AST_PRJEB5043_v1:LK032080:459035:460324:1	BnaC03g30720D protein	AT1G56220	NA	chromosome:TAIR10:1:21043348:21044758:1	Dormancy/auxin associated family protein	85.024	1.9e-112	405	NA	NA	IPR008406
GSBRNA2T00002404001	2.632018821	0.001374652	CDY18016	BnaC03g30880D	supercontig:AST_PRJEB5043_v1:LK032080:544282:552684:1	BnaC03g30880D protein	AT2G02930	GSTF3	chromosome:TAIR10:2:851156:852321:-1	Glutathione S-transferase F3	90.333	0	826	11	GO:0005515	IPR004045;IPR004046;IPR010987;IPR012336;IPR017933
GSBRNA2T00002433001	3.711766943	0.008601165	CDY18033	BnaC03g31050D	supercontig:AST_PRJEB5043_v1:LK032080:726685:728244:1	BnaC03g31050D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0005216;GO:0006811;GO:0016020;GO:0055085	IPR005821;IPR018490
GSBRNA2T00002643001	2.081635397	0.002474783	CDY18126	BnaA01g23870D	supercontig:AST_PRJEB5043_v1:LK032082:716089:717576:1	BnaA01g23870D protein	AT2G12190	NA	chromosome:TAIR10:2:4891642:4893397:-1	Putative cytochrome P450	84.168	4.23e-134	479	15	GO:0005506;GO:0009055;GO:0020037;GO:0055114	IPR001128;IPR002401;IPR017972
GSBRNA2T00002693001	0.872089236	0.016780909	CDY18169	BnaC05g01920D	supercontig:AST_PRJEB5043_v1:LK032083:135624:140489:1	BnaC05g01920D protein	AT1G03380	ATG18G	chromosome:TAIR10:1:835767:841373:1	Autophagy-related protein 18g	86.628	0	3145	NA	GO:0005515	IPR001680;IPR015943;IPR017986;IPR022175
GSBRNA2T00002710001	5.598179989	2.78e-06	CDY18184	BnaC05g02070D	supercontig:AST_PRJEB5043_v1:LK032083:204002:205186:1	BnaC05g02070D protein	AT1G03790	SOM	chromosome:TAIR10:1:954290:956144:1	Zinc finger CCCH domain-containing protein 2	83.17	0	893	NA	GO:0003676;GO:0008270	IPR000571
GSBRNA2T00002718001	4.562823653	8.91e-08	CDY18190	BnaC05g02130D	supercontig:AST_PRJEB5043_v1:LK032083:228885:229530:-1	BnaC05g02130D protein	AT1G03850	NA	chromosome:TAIR10:1:975880:977761:-1	Glutaredoxin family protein	81.953	1.38e-104	379	NA	GO:0009055;GO:0015035;GO:0045454	IPR002109;IPR011905;IPR012336
GSBRNA2T00002750001	4.576352384	1.12e-08	CDY18221	BnaC05g02440D	supercontig:AST_PRJEB5043_v1:LK032083:393868:396185:1	BnaC05g02440D protein	AT1G04350	NA	chromosome:TAIR10:1:1164910:1167135:1	1-aminocyclopropane-1-carboxylate oxidase homolog 6	82.11	0	896	713	GO:0016491;GO:0055114	IPR005123;IPR026992
GSBRNA2T00002751001	5.941319655	3.79e-13	CDY18222	BnaC05g02450D	supercontig:AST_PRJEB5043_v1:LK032083:404740:406458:1	BnaC05g02450D protein	AT1G04350	NA	chromosome:TAIR10:1:1164910:1167135:1	1-aminocyclopropane-1-carboxylate oxidase homolog 6	82.285	0	664	157	GO:0005506;GO:0016491;GO:0055114	IPR002283;IPR005123;IPR026992
GSBRNA2T00002816001	1.556865234	0.000490281	CDY18281	BnaC05g03040D	supercontig:AST_PRJEB5043_v1:LK032083:663466:665002:-1	BnaC05g03040D protein	AT1G05010	ACO4	chromosome:TAIR10:1:1431177:1433010:-1	1-aminocyclopropane-1-carboxylate oxidase 4	90.806	0	1290	NA	GO:0016491;GO:0055114	IPR005123;IPR026992
GSBRNA2T00002904001	3.032374906	0.000336837	CDY18324	BnaC09g30740D	supercontig:AST_PRJEB5043_v1:LK032084:411082:412151:-1	BnaC09g30740D protein	AT5G54300	NA	chromosome:TAIR10:5:22053969:22055443:-1	Cotton fiber expressed protein 1-like protein	74.55	2.12e-85	316	NA	NA	IPR008480;IPR025520
GSBRNA2T00002984001	3.447208417	0.008804971	CDY51225	BnaC09g09800D	supercontig:AST_PRJEB5043_v1:LK032976:87996:88859:1	BnaC09g09800D protein	AT1G13080	CYP71B2	chromosome:TAIR10:1:4459166:4460940:1	Cytochrome P450 71B2	84.326	8.68e-178	623	403	GO:0005506;GO:0009055;GO:0020037;GO:0055114	IPR001128;IPR002401;IPR017972
GSBRNA2T00002992001	-0.796221099	0.008400666	CDY51232	BnaA03g07060D	supercontig:AST_PRJEB5043_v1:LK032977:29304:30012:1	BnaA03g07060D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	IPR000754;IPR014721;IPR020568;IPR020574
GSBRNA2T00003040001	0.945234304	0.044887331	CDY51268	BnaCnng20470D	supercontig:AST_PRJEB5043_v1:LK032979:76734:78218:-1	BnaCnng20470D protein	AT3G56950	SIP2;1	chromosome:TAIR10:3:21078361:21079925:-1	Small and basic intrinsic protein 21	87.413	0	819	NA	GO:0005215;GO:0006810;GO:0016020	IPR000425;IPR023271
GSBRNA2T00003066001	1.524420999	0.002081097	CDY51272	BnaA10g11760D	supercontig:AST_PRJEB5043_v1:LK032981:24192:26975:1	BnaA10g11760D protein	AT5G57900	SKIP1	chromosome:TAIR10:5:23449694:23450933:-1	F-box protein SKIP1	86.622	0	981	NA	NA	IPR006553
GSBRNA2T00003091001	1.237210752	0.012044357	CDY51290	BnaA06g23560D	supercontig:AST_PRJEB5043_v1:LK032982:29085:32370:1	BnaA06g23560D protein	AT5G64570	BXL4	chromosome:TAIR10:5:25810817:25813620:-1	Beta-D-xylosidase 4	87.638	0	2721	1430	GO:0005975	IPR001764;IPR002772;IPR017853;IPR026891;IPR026892
GSBRNA2T00003111001	1.306752794	0.052086106	CDY51303	BnaCnng20480D	supercontig:AST_PRJEB5043_v1:LK032983:29937:32435:1	BnaCnng20480D protein	AT1G02660	NA	chromosome:TAIR10:1:571826:575085:-1	Alpha/beta-Hydrolases superfamily protein	82.527	0	1417	NA	GO:0004806;GO:0006629	IPR002921
GSBRNA2T00003129001	5.130656346	2.95e-17	CDY51312	BnaCnng20570D	supercontig:AST_PRJEB5043_v1:LK032984:54611:55321:-1	BnaCnng20570D protein	AT5G04340	ZAT6	chromosome:TAIR10:5:1216058:1217362:-1	Zinc finger protein ZAT6	79.683	3.2e-127	455	NA	GO:0003676;GO:0005622;GO:0008270	IPR007087;IPR013087;IPR015880
GSBRNA2T00003138001	1.30790789	0.001325624	CDY70398	BnaCnng68200D	supercontig:AST_PRJEB5043_v1:LK041977:1204:2527:-1	BnaCnng68200D protein	AT3G45780	PHOT1	chromosome:TAIR10:3:16818347:16824210:1	RPT1	87.148	0	992	NA	GO:0000155;GO:0000160;GO:0004871;GO:0007165	IPR000014;IPR000700
GSBRNA2T00003269001	-2.094121547	0.028337924	CDY51362	BnaA04g28560D	supercontig:AST_PRJEB5043_v1:LK032988:36976:38660:1	BnaA04g28560D protein	AT2G29530	TIM10	chromosome:TAIR10:2:12640800:12642387:-1	Mitochondrial import inner membrane translocase subunit Tim10	92.887	2.05e-95	348	NA	GO:0045039	IPR004217;IPR027247
GSBRNA2T00003270001	1.669604192	0.049265116	CDY51363	BnaA04g28570D	supercontig:AST_PRJEB5043_v1:LK032988:39483:39941:1	BnaA04g28570D protein	AT2G29500	HSP17.6B	chromosome:TAIR10:2:12633065:12634120:-1	17.6 kDa class I heat shock protein 2	85.591	1.29e-134	479	NA	NA	IPR002068;IPR008978
GSBRNA2T00003272001	3.605182962	0.00059846	CDY51365	BnaA04g28590D	supercontig:AST_PRJEB5043_v1:LK032988:43811:45042:1	BnaA04g28590D protein	AT2G29470	GSTU3	chromosome:TAIR10:2:12628422:12629640:-1	Glutathione S-transferase U3	84.375	0	654	98	GO:0005515	IPR004045;IPR010987;IPR012336;IPR017933
GSBRNA2T00003368001	4.041257371	6.73e-06	CDY51428	BnaA04g27050D	supercontig:AST_PRJEB5043_v1:LK032993:65896:66918:-1	BnaA04g27050D protein	AT2G47520	ERF071	chromosome:TAIR10:2:19502776:19503702:-1	Ethylene-responsive transcription factor ERF071	90.576	1.11e-66	254	NA	GO:0003677;GO:0003700	IPR001471;IPR016177
GSBRNA2T00003442001	1.570367124	0.003730917	CDY70447	BnaAnng33720D	supercontig:AST_PRJEB5043_v1:LK042146:2034:3289:-1	BnaAnng33720D protein	AT1G20160	CRSP	chromosome:TAIR10:1:6990642:6993989:-1	CO(2)-response secreted protease	87.983	0	1127	NA	GO:0004252;GO:0006508	IPR000209;IPR015500;IPR023828
